Keyword,Title_length,Book,BookChapter,Conference,Dataset,Journal,Patent,Repository,Thesis,NULL:unknown,year,page_length,n_citation,author_num,keywords_length,keyword_in_title,keyword_in_keywords,label,title,keywords
security,15,False,False,False,False,False,False,False,False,False,2001,0,0,2,27,False,True,-1,electrotechnology toolbox - tutorial 8 - how to install a security system - text version,"[u'power plug pack', u'smoke alarm', u'handover zones', u'horn speaker', u'screamer', u'entry delay time', u'strobe light', u'passive infra red detector', u'master code', u'nes202a', u'exit delay time', u'security system', u'reed switch', u'battery', u'toolbox', u'acoustic glass break detector', u'spare zone', u'code', u'strobe tamper switch', u'user access codes', u'installer', u'utenes202a', u'programming', u'keypad', u'pir', u'anta', u'client account number']"
feature selection,10,False,False,False,False,False,False,False,False,False,2015,0,0,1,3,True,True,1,a survey of feature selection methods : algorithms and software,"[u'software', u'thesis', u'feature selection']"
simulation,28,False,False,False,False,True,False,False,False,False,1999,0,304,5,23,False,True,-1,an operating room scheduling strategy to maximize the use of operating room block time: computer simulation of patient scheduling and survey of patients' preferences for surgical waiting time.,"[u'use', u'simulation ordinateur', u'operating room', u'organization', u'programmation', u'bloc operatoire', u'hombre', u'utilizacion', u'programacion', u'utilisation', u'waiting time', u'chirurgie', u'human', u'surgery', u'quirofano', u'cirugia', u'patient preference', u'simulacion computadora', u'organisation', u'organizacion', u'programming', u'computer simulation', u'homme']"
neural networks,10,False,False,False,False,True,False,False,False,False,1989,0,50,1,25,False,True,1,schemas and neural networks for sixth generation computing. invited survey,"[u'general and miscellaneous mathematics computing and information science', u'articulo sintesis', u'somatic cells', u'learning', u'programming language', u'somatic cells 990200 mathematics computers', u'article synthese', u'simulation', u'technology assessment', u'computer networks', u'computer network', u'computer architecture', u'array processors', u'reseau neuronal', u'review', u'vision', u'programming', u'red neuronal', u'human brain', u'animal cells', u'parallel processing', u'domain specificity', u'programming languages', u'neural network', u'nerve cells']"
artificial intelligence,13,False,False,False,False,True,False,False,False,False,1990,0,50,2,29,False,True,1,a survey of the application of artificial intelligence techniques within the or society,"[u'forecasting', u'reliability', u'project management', u'information systems', u'maintenance', u'soft or', u'information technology', u'packing', u'operations research', u'location', u'investment', u'journal', u'journal of the operational research society', u'inventory', u'artificial intelligent', u'purchasing', u'history of or', u'logistics', u'marketing', u'scheduling', u'production', u'communications technology', u'computer science', u'operational research', u'applications of operational research', u'or society', u'jors', u'management science', u'infrastructure']"
ontology,14,False,False,True,False,False,False,False,False,False,2015,0,0,1,14,False,True,-1,tutorial: using ufo as a reference ontology in the (re-)design of enterprise modelling languages,"[u'electronic mail', u'unified foundational ontology', u'semantics', u'computational modeling', u'tutorials', u'ontologies semantics computational modeling tutorials conferences computer science electronic mail', u'specification languages corporate modelling ontologies artificial intelligence programming language semantics', u'ontologies', u'computer science', u'enterprise modelling modelling semantics ontologies unified foundational ontology', u'modelling semantics', u'conferences', u'enterprise modelling', u'organizational structure ufo reference ontology enterprise modelling language redesign enterprise architecture information system engineering diagrammatic language problem solving language domain appropriateness symbolic structure real world semantics semantic interoperability conceptual modeling language semantic clarity semantic expressiveness unified foundational ontology language revision archi mate enterprise architectural domain']"
wireless sensor network,7,False,False,True,False,False,False,False,False,False,2011,0,50,2,9,False,True,1,a survey of wireless sensor network testbeds,"[u'software', u'wireless communication', u'servers', u'mobile communication', u'universal serial bus', u'wireless sensor networks software servers mobile communication wireless communication universal serial bus hardware', u'real world deployments wireless sensor network laboratory testbeds', u'wireless sensor networks', u'hardware']"
scheduling,7,False,False,False,False,True,False,False,False,False,2016,0,50,4,12,False,True,-1,energy-aware scheduling for real-time systems: a survey,"[u'software', u'single core', u'energy', u'idle', u'hardware and architecture', u'sleep', u'multicore', u'low power', u'real time scheduling', u'dynamic power management', u'power', u'dynamic voltage and frequency scaling']"
scheduling,28,False,False,False,False,True,False,False,False,False,1999,0,304,5,23,False,True,1,an operating room scheduling strategy to maximize the use of operating room block time: computer simulation of patient scheduling and survey of patients' preferences for surgical waiting time.,"[u'use', u'simulation ordinateur', u'operating room', u'organization', u'programmation', u'bloc operatoire', u'hombre', u'utilizacion', u'programacion', u'utilisation', u'waiting time', u'chirurgie', u'human', u'surgery', u'quirofano', u'cirugia', u'patient preference', u'simulacion computadora', u'organisation', u'organizacion', u'programming', u'computer simulation', u'homme']"
scheduling,14,False,False,False,False,True,False,False,False,False,2004,0,122,2,34,True,True,1,"scheduling with common due date, earliness and tardiness penalties for multimachine problems: a survey","[u'nonregular criteria', u'informatica', u'reseau multimachine', u'matematicas aplicadas', u'modele mathematique', u'mathematiques appliquees', u'ordinateur parallele', u'metodo penalidad', u'modelo matematico', u'earliness', u'objective function', u'precocite', u'penalty method', u'single machine', u'methode penalite', u'precocidad', u'sistema transporte fuerzas multimaquina', u'scheduling', u'common due date', u'multimachine scheduling', u'ordenador paralelo', u'parallel computer', u'mathematical model', u'scheduling problem', u'parallel machines', u'machine scheduling', u'just in time', u'informatique', u'computer science', u'applied mathematics', u'multimachine power system', u'earliness tardiness penalties', u'ordonnancement', u'reglamento']"
big data,13,False,False,True,False,False,False,False,False,False,2016,0,0,3,7,True,True,1,a comparative survey of the hpc and big data paradigms: analysis and experiments,"[u'software', u'big data', u'sparks', u'electronics packaging', u'programming', u'parallel processing', u'data models']"
wireless sensor networks,7,False,False,False,False,False,False,False,False,False,2012,0,50,1,4,False,True,1,time synchronization in wireless sensor networks：a survey,"[u'technology', u'teknik', u'datavetenskap datalogi', u'computer science']"
wireless sensor networks,8,False,False,False,False,True,False,False,False,False,2013,0,225,5,6,True,True,0,localization algorithms of wireless sensor networks: a survey,"[u'location accuracy', u'mobility', u'localization algorithms', u'datavetenskap datalogi', u'computer science', u'wireless sensor networks']"
wireless sensor networks,15,False,False,True,False,False,False,False,False,False,2010,0,50,2,26,True,True,0,analysis of attack models via unified modeling language in wireless sensor networks: a survey study,"[u'standard attack models', u'security attacks analysis of attack models modeling language wireless sensor networks monitoring temperature enemy movements', u'security model', u'uml sequence diagram', u'unified modeling language wireless sensor networks routing object oriented modeling temperature sensors computerized monitoring condition monitoring computer science acoustic sensors information security', u'information security', u'routing', u'temperature sensors', u'wireless sensor networks security of data', u'standard attack models security wireless sensor networks unified modeling language', u'transport layer', u'wireless sensor network', u'computerized monitoring', u'standard model', u'research paper', u'condition monitoring', u'unified modeling language', u'repeaters', u'computer science', u'acoustic sensors', u'security', u'security of data', u'wireless sensor networks', u'object oriented modeling', u'solids', u'security protocol']"
evaluation,9,False,False,True,False,False,False,False,False,False,2015,0,50,4,9,False,True,-1,a survey of experimental evaluation in indoor localization research,"[u'indoor navigation computer science ieee xplore global positioning system estimation measurement uncertainty', u'indoor navigation', u'measurement uncertainty', u'applied metrics experimental evaluation indoor localization research international conference on indoor positioning and indoor navigation ipin ieee xplore ground truth data gathering method', u'estimation', u'global positioning system', u'radionavigation indoor navigation', u'computer science', u'ieee xplore']"
evaluation,8,False,False,True,False,False,False,False,False,False,1998,0,50,6,32,False,True,-1,pavement thickness evaluation by gpr survey in idaho,"[u'epaisseur couche', u'software', u'ndt testing', u'ensayo no destructivo', u'pavement', u'essai non destructif', u'methode mesure', u'maintenance', u'portland cement concrete', u'etude experimentale', u'metodo medida', u'mesure epaisseur', u'coupled system', u'nondestructive evaluation', u'chaussee', u'radar penetration sol', u'ground penetrating radar', u'non destructive test', u'layer thickness', u'mantenimiento', u'gpr survey', u'calzada', u'ground truth', u'medicion espesor', u'carrying capacity', u'measurement method', u'estudio experimental', u'pavement thickness evaluation', u'cements', u'thickness measurement', u'nondestructive testing', u'espesor capa']"
evaluation,15,False,False,False,False,True,False,False,False,False,1997,0,73,1,22,False,True,-1,an evaluation of alternative pc-based software packages developed for the analysis of complex survey data,"[u'software', u'stata', u'analisis datos', u'logiciel', u'personal computer', u'survey design', u'nmes', u'complex survey data', u'sudaan', u'ecuesta estadistica', u'sample survey', u'data analysis', u'software package', u'logicial', u'analyse donnee', u'survey data', u'progiciel', u'computational efficiency', u'simple random sampling', u'program development', u'sondage statistique', u'wesvarpc']"
evaluation,21,False,False,False,False,True,False,False,False,False,1983,0,50,2,12,False,True,-1,mini-computer programs for bioequivalence testing of pharmaceutical drug formulations in two-way cross-over studies. including a survey of current parametric evaluation techniques.,"[u'computers', u'software', u'computer program', u'uncoupling agents', u'probability', u'therapeutic equivalency', u'tablets', u'bepridil', u'minicomputers', u'analysis of variance', u'pyrrolidines', u'chemistry pharmaceutical']"
semantic web,9,False,False,True,False,False,False,False,False,False,2004,0,0,3,11,True,True,1,tutorial session services oriented architecture and semantic web processes,"[u'databases', u'symbiosis', u'application software', u'service oriented architecture semantic web web services computer science application software research and development databases drives symbiosis quality of service', u'drives', u'research and development', u'web services', u'semantic web', u'computer science', u'quality of service', u'service oriented architecture']"
sensor network,7,False,False,True,False,False,False,False,False,False,2011,0,50,2,9,False,True,1,a survey of wireless sensor network testbeds,"[u'software', u'wireless communication', u'servers', u'mobile communication', u'universal serial bus', u'wireless sensor networks software servers mobile communication wireless communication universal serial bus hardware', u'real world deployments wireless sensor network laboratory testbeds', u'wireless sensor networks', u'hardware']"
visualization,11,False,False,False,False,False,False,False,False,False,2014,0,50,2,6,False,True,-1,text visualization browser : a visual survey of text visualization techniques,"[u'human computer interaction', u'manniska datorinteraktion interaktionsdesign', u'informations och programvisualisering', u'datavetenskap datalogi', u'computer science', u'information and software visualization']"
visualization,8,False,False,True,False,False,False,False,False,False,2015,0,50,3,10,True,True,-1,a survey on goal-oriented visualization of clone data,"[u'software', u'software development goal oriented visualization visual data analysis software clones visualization information needs', u'measurement', u'cloning', u'visualization', u'quality assessment', u'data visualization', u'software engineering data analysis data visualisation program diagnostics', u'cloning data visualization software context visualization measurement quality assessment', u'context']"
image retrieval,13,False,False,False,False,True,False,False,False,False,2013,0,67,5,13,False,True,1,content-based medical image retrieval: a survey of applications to multidimensional and multimodality data,"[u'software', u'sensitivity and specificity', u'female', u'diagnostic imaging', u'radiology information systems', u'database management systems', u'male', u'image interpretation computer assisted', u'multimodal imaging', u'cross sectional studies', u'humans', u'systems integration', u'information storage and retrieval']"
performance,11,False,False,True,False,False,False,False,False,False,2010,0,50,21,30,True,True,-1,the palomar transient factory survey camera: first year performance and results,"[u'9555', u'software', u'optical transient', u'phenomene transitoire', u'first year', u'systeme mesure', u'0130c', u'measurement systems', u'performance', u'aplicacion espacial', u'telescopes', u'performance characterization', u'shutters', u'flattening', u'lessons learned', u'telescope', u'aplanamiento', u'observatories', u'supernovae', u'transients', u'volet fermeture', u'phase transfer function', u'cooling systems', u'supernova', u'application spatiale', u'0787', u'cameras', u'field survey', u'space application', u'aplatissement']"
performance,17,False,False,False,False,True,False,False,False,False,2002,0,124,2,52,False,True,-1,the role of coherent supply chain strategy and performance management in achieving competitive advantage: an international survey,"[u'forecasting', u'evaluation performance', u'reliability', u'project management', u'information systems', u'performance evaluation', u'performance management', u'maintenance', u'competitividad', u'inversion', u'gestion chaine approvisionnement', u'evaluacion prestacion', u'soft or', u'information technology', u'packing', u'operations research', u'location', u'investment', u'journal', u'journal of the operational research society', u'strategic planning', u'inventory', u'purchasing', u'estrategia empresa', u'history of or', u'logistics', u'marketing', u'scheduling', u'aprovisionamiento', u'investissement', u'competitiveness', u'approvisionnement', u'planification strategique', u'production', u'communications technology', u'supply chain', u'supply', u'computer science', u'information system', u'operational research', u'firm strategy', u'competitivite', u'strategie entreprise', u'systeme information', u'planificacion estrategica', u'applications of operational research', u'or society', u'jors', u'management science', u'infrastructure', u'competitive advantage', u'sistema informacion']"
complexity,8,False,False,True,False,False,False,False,False,False,2002,0,50,2,31,True,True,-1,consequence and complexity in infinite-valued logic: a survey,"[u'consequences', u'reviews multivalued logic computational complexity', u'syntax', u'inductive definition', u'boolean functions', u'logic', u'semantics', u'finite formula set', u'algorithmic procedure', u'complexity', u'equivalence', u'finite symbol set', u'strings', u'computational complexity', u'calculus', u'character generation', u'qualifications', u'lukasiewicz infinite valued calculus consequences complexity infinite valued logic survey syntax finite symbol set alphabet inductive definition strings finite formula set semantics equivalence algorithmic procedure classical logic algebraic structures', u'lukasiewicz infinite valued calculus', u'artificial intelligence', u'classical logic', u'infinite valued logic', u'computer science', u'logic character generation reactive power computer science calculus artificial intelligence boolean functions machinery qualifications', u'multivalued logic', u'machinery', u'reviews', u'algebraic structures', u'survey', u'alphabet', u'reactive power']"
e-learning,7,False,False,True,False,False,False,False,False,False,2010,0,120,1,21,False,False,-1,the learning with errors problem (invited survey),"[u'errors problem', u'lattices', u'decoding', u'application software', u'lwe', u'cryptographic applications errors problem invited survey learning with errors lwe', u'construction industry', u'polynomials', u'lattice based cryptography learning with errors', u'computational complexity', u'cryptography', u'lattice based cryptography', u'mathematical model', u'learning with errors', u'zinc', u'approximation methods', u'computer science', u'invited survey', u'equations cryptography lattices zinc computer errors polynomials computational complexity decoding computer science application software', u'computer errors', u'cryptographic applications']"
e-learning,12,False,False,False,False,False,False,False,False,False,2009,0,50,2,5,False,False,-1,thinking ahead in mobile learning projects : a survey on risk assessment,"[u'annan data och informationsvetenskap', u'datavetenskap datalogi', u'datavetenskap', u'computer science', u'other computer and information science']"
e-learning,13,False,False,False,False,False,False,False,False,False,2011,0,50,2,20,False,False,-1,state-of-the-art model driven game development: a survey of technological solutions for game-based learning,"[u't technology general', u'information technology', u'computer uses in education', u'l education general', u'instructional design', u'open source technology', u'educational games', u'state of the art reviews', u'teacher developed materials', u'game based', u'computer software', u'educational technology', u'computer games', u'computer software selection', u'computer interfaces', u'programming', u'teaching methods', u'programming languages', u'surveys', u'qa76 computer software']"
modeling,8,False,False,False,False,True,False,False,False,False,2014,0,61,3,36,False,True,-1,smartphone malware and its propagation modeling: a survey,"[u'defense', u'software', u'smartphone malware propagation modeling', u'mobile malware evolution', u'technology', u'mobile malware', u'propagation models', u'smart phones', u'discrete time', u'trojan horses', u'malware writers', u'mathematical theory', u'legitimate users', u'simulator', u'infection vectors', u'science technology', u'dynamics', u'grippers', u'mobile communication grippers trojan horses mobile handsets software bluetooth', u'simulator smartphone mobile malware propagation modeling', u'mobile communication', u'mobile handsets', u'worm propagation', u'ad hoc networks', u'invasive software', u'bluetooth', u'bluetooth worms', u'computer science', u'computer science information systems', u'smartphone', u'mobile computing', u'cellular automata', u'epidemics', u'sir', u'propagation modeling', u'telecommunications']"
modeling,15,False,False,True,False,False,False,False,False,False,2010,0,50,2,26,False,True,-1,analysis of attack models via unified modeling language in wireless sensor networks: a survey study,"[u'standard attack models', u'security attacks analysis of attack models modeling language wireless sensor networks monitoring temperature enemy movements', u'security model', u'uml sequence diagram', u'unified modeling language wireless sensor networks routing object oriented modeling temperature sensors computerized monitoring condition monitoring computer science acoustic sensors information security', u'information security', u'routing', u'temperature sensors', u'wireless sensor networks security of data', u'standard attack models security wireless sensor networks unified modeling language', u'transport layer', u'wireless sensor network', u'computerized monitoring', u'standard model', u'research paper', u'condition monitoring', u'unified modeling language', u'repeaters', u'computer science', u'acoustic sensors', u'security', u'security of data', u'wireless sensor networks', u'object oriented modeling', u'solids', u'security protocol']"
text mining,12,False,False,False,False,True,False,False,False,False,2012,0,50,1,20,True,True,1,uncovering text mining: a survey of current work on web-based epidemic intelligence,"[u'sentinel surveillance', u'software', u'biocaster', u'text mining', u'data mining', u'information gathering', u'artificial intelligent', u'population surveillance', u'internet', u'ontology evaluation', u'artificial intelligence', u'ontologies', u'evaluation', u'humans', u'social media', u'information storage and retrieval', u'natural language processing', u'public health', u'web based discovery', u'disease outbreaks']"
text mining,15,False,False,False,False,False,False,False,False,False,2013,0,0,4,36,False,True,-1,what is bioinformatics made from? a survey of database and software usage through full-text mining,"[u'software', u'valid science', u'sound science', u'oncology', u'publishing platform', u'publishing', u'anesthesiology', u'biology', u'ecology', u'genetics', u'null results', u'neuroscience', u'physiology', u'faculty of 1000', u'research articles', u'open data', u'f1000research', u'replication studies', u'open access', u'fast publication', u'life sciences', u'microbiology', u'infectious diseases', u'medicine', u'post publication peer review', u'emergency medicine', u'plant biology', u'health', u'science publishing', u'rapid publication', u'open science', u'open peer review', u'anaesthesiology', u'cell biology', u'immunology', u'negative results']"
verification,8,False,False,False,False,True,False,False,False,False,1981,0,50,1,10,False,True,-1,tutorial series 7 software project verification and validation,"[u'software testing', u'performance evaluation', u'automatic testing', u'software systems', u'tutorials software testing automatic testing software performance programming life testing performance evaluation software systems', u'software performance', u'tutorials', u'life testing', u'verification and validation', u'programming']"
dynamic programming,5,False,False,False,False,True,False,False,False,False,1974,0,50,2,29,False,True,1,non-serial dynamic programming- a survey,"[u'forecasting', u'reliability', u'project management', u'information systems', u'maintenance', u'soft or', u'information technology', u'packing', u'dynamic program', u'operations research', u'location', u'investment', u'journal', u'journal of the operational research society', u'inventory', u'purchasing', u'history of or', u'logistics', u'marketing', u'scheduling', u'production', u'communications technology', u'computer science', u'operational research', u'applications of operational research', u'or society', u'jors', u'management science', u'infrastructure']"
learning,7,False,False,True,False,False,False,False,False,False,2010,0,120,1,21,False,True,1,the learning with errors problem (invited survey),"[u'errors problem', u'lattices', u'decoding', u'application software', u'lwe', u'cryptographic applications errors problem invited survey learning with errors lwe', u'construction industry', u'polynomials', u'lattice based cryptography learning with errors', u'computational complexity', u'cryptography', u'lattice based cryptography', u'mathematical model', u'learning with errors', u'zinc', u'approximation methods', u'computer science', u'invited survey', u'equations cryptography lattices zinc computer errors polynomials computational complexity decoding computer science application software', u'computer errors', u'cryptographic applications']"
learning,12,False,False,False,False,False,False,False,False,False,2009,0,50,2,5,False,True,-1,thinking ahead in mobile learning projects : a survey on risk assessment,"[u'annan data och informationsvetenskap', u'datavetenskap datalogi', u'datavetenskap', u'computer science', u'other computer and information science']"
learning,13,False,False,False,False,False,False,False,False,False,2011,0,50,2,20,False,True,-1,state-of-the-art model driven game development: a survey of technological solutions for game-based learning,"[u't technology general', u'information technology', u'computer uses in education', u'l education general', u'instructional design', u'open source technology', u'educational games', u'state of the art reviews', u'teacher developed materials', u'game based', u'computer software', u'educational technology', u'computer games', u'computer software selection', u'computer interfaces', u'programming', u'teaching methods', u'programming languages', u'surveys', u'qa76 computer software']"
reliability,10,False,False,False,False,False,False,False,False,False,1971,0,50,3,17,False,True,-1,survey and critical analysis of programs for system reliability computation.,"[u'system reliability', u'analytical solution', u'reactor accidents', u'reactors reliability of systems in survey of mathematical models for analysis of', u'reliability reactor safety analysis of survey of mathematical models for analysis of', u'reactor safety', u'reactors power safety of survey of mathematical models for analysis of', u'n78280 power reactor development commercial power reactors safety siting', u'safety analysis', u'mathematical models', u'power reactors', u'mathematical model', u'planning', u'analytic solution', u'programming', u'reactors', u'fault tree analysis']"
design,6,False,False,False,False,True,False,False,False,False,1986,0,110,2,36,True,True,1,a survey of software design techniques,"[u'verification', u'software metrics design methodologies design representation design verification and validation distributed software system design error resistant software design software design technique', u'developpement logiciel', u'software metrics', u'distributed system', u'representation graphique', u'systeme reparti', u'software design technique', u'representacion grafica', u'specification', u'formal specifications', u'software systems', u'conception', u'software engineering', u'software systems software design design methodology programming data structures formal specifications', u'design representation', u'sistema repartido', u'especificacion', u'software design software design techniques design representation software system software design design stages distributed software system design methodologies current software metrics error resistant software design', u'data structures', u'desarrollo logicial', u'design verification and validation', u'software development', u'diseno', u'design', u'design methodologies', u'fiabilite logiciel', u'verificacion', u'fiabilidad logicial', u'software design', u'software reliability', u'error resistant software design', u'programming', u'distributed software system design', u'graphics', u'design methodology']"
design,6,False,False,False,False,False,False,False,False,False,2013,0,50,4,1,False,True,-1,heterogeneous access: survey and design considerations,[u'computer science']
design,11,False,False,True,False,False,False,False,False,False,1993,0,50,1,15,False,True,-1,expert systems as design aids for artificial vision systems: a survey,"[u'vision system', u'engineering', u'software', u'explicit knowledge', u'computer vision', u'machine vision', u'consciousness', u'industrial application', u'artificial vision', u'vision', u'computer vision technology', u'symbolic representation', u'knowledge base', u'expert system', u'knowledge engineering']"
design,14,False,False,False,False,True,False,False,False,False,2013,0,0,3,7,False,True,-1,an auxiliary system design for the od survey of residents based on mobile facility,"[u'software', u'transportation modes', u'trip purpose', u'origin and destination', u'mobile telephones', u'trip distribution', u'travel surveys']"
design,6,False,False,True,False,False,False,False,False,False,2004,0,0,2,11,False,True,1,reliable design: a system perspective [tutorial],"[u'silicon', u'application software', u'testing', u'computer architecture', u'scheduling', u'multimedia communication', u'tutorial fault diagnosis hardware application software multimedia communication silicon testing computer architecture scheduling programming', u'programming', u'fault diagnosis', u'hardware', u'tutorial']"
design,7,False,False,False,False,False,False,False,False,False,1993,0,0,1,9,False,True,-1,microcomputers in transportation. tutorial on computer-aided design,"[u'software', u'computer aided design', u'training', u'transportation engineering', u'drafting', u'civil engineering', u'training devices', u'management', u'hardware']"
design,14,False,False,True,False,False,False,False,False,False,2015,0,0,1,14,False,True,-1,tutorial: using ufo as a reference ontology in the (re-)design of enterprise modelling languages,"[u'electronic mail', u'unified foundational ontology', u'semantics', u'computational modeling', u'tutorials', u'ontologies semantics computational modeling tutorials conferences computer science electronic mail', u'specification languages corporate modelling ontologies artificial intelligence programming language semantics', u'ontologies', u'computer science', u'enterprise modelling modelling semantics ontologies unified foundational ontology', u'modelling semantics', u'conferences', u'enterprise modelling', u'organizational structure ufo reference ontology enterprise modelling language redesign enterprise architecture information system engineering diagrammatic language problem solving language domain appropriateness symbolic structure real world semantics semantic interoperability conceptual modeling language semantic clarity semantic expressiveness unified foundational ontology language revision archi mate enterprise architectural domain']"
design,15,False,False,False,False,True,False,False,False,False,2011,0,50,4,10,True,True,-1,software-defined radio technologies for gnss receivers: a tutorial approach to a simple design and implementation,"[u'radio navigation', u'software', u'glonass satellite navigation system', u'technological innovations', u'galileo satellite navigation system', u'navigation', u'global positioning system', u'algorithms', u'design', u'global navigation satellite system']"
software architecture,11,False,False,True,False,False,False,False,False,False,2008,0,50,5,18,True,True,-1,risks and risk management in software architecture evolution: an industrial survey,"[u'software', u'software maintenance', u'structured evaluation', u'dp industry', u'risk management', u'maintenance engineering', u'software architecture evaluation software architecture software evolution risk management', u'software industry risk management software architecture evolution structured evaluation', u'evolution biology', u'computer architecture', u'software architecture', u'risk management software architecture computer industry computer architecture software systems software performance software maintenance software engineering open source software information science', u'software evolution', u'software maintenance dp industry risk management software architecture', u'software industry', u'software architecture evaluation', u'planning', u'software architecture evolution']"
