keyword, url, authos, title, year, numberofcitation
fuzzy logic,https://books.google.com/books?hl=en&lr=&id=fRHEvLhYzecC&oi=fnd&pg=PR5&dq=fuzzy+logic+tutorial&ots=-v53ze6rCJ&sig=pkoJuNwLD1pRJ0_FWJhbOrkN4mw,"['R Bělohlávek', ' GJ Klir ']", Concepts and fuzzy logic,2011,120

fuzzy logic,http://fa.mie.sut.ac.ir/Downloads/AcademicStaff/5/Courses/17/Fuzzy%20Logic%20in%20Geology%20(2004).pdf#page=21,['GJ Klir '],Fuzzy logic: a specialized tutorial,2004,11

fuzzy logic,https://www.sciencedirect.com/science/article/pii/002002558590026X,['M Sugeno '],An introductory survey of fuzzy control,1985,1591

image segmentation,https://www.academia.edu/download/47879147/Segmentation_tutorial.pdf,['YH Wang '], Tutorial: image segmentation,2010,65

image segmentation,https://dl.acm.org/doi/abs/10.1561/0600000052,"['Y Furukawa', 'C Hernández']", Multi-view stereo: A tutorial,2015,340

image segmentation,http://haralick-org.torahcode.us/book_chapters/image_segmentation_survey_faugeras.pdf,['RM Haralick'],Image segmentation survey,1983,69

image segmentation,http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3405.pdf,"['KS Fu', ' JK Mui ']",A survey on image segmentation,1981,1806

image segmentation,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.28.1325,"['W Skarbek', 'A Koschan', ' T Bericht', ' Z Veroffentlichung ']",Colour image segmentation-a survey,1994,495

image segmentation,https://www.sciencedirect.com/science/article/pii/S1877050915028574/pdf?md5=a25302eed1f6b6620dcd1de0a02c4f56&pid=1-s2.0-S1877050915028574-main.pdf,"['NM Zaitoun', 'MJ Aqel']",Survey on image segmentation techniques,2015,323

internet of things,https://www.tandfonline.com/doi/abs/10.1080/19393555.2018.1458258,"['D Mendez Mena', 'I Papapanagiotou… ']",Internet of things: Survey on security,2018,54

segmentation,https://www.academia.edu/download/47879147/Segmentation_tutorial.pdf,['YH Wang '], Tutorial: image segmentation,2010,65

segmentation,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.28.1325,"['W Skarbek', 'A Koschan', ' T Bericht', ' Z Veroffentlichung ']",Colour image segmentation-a survey,1994,495

segmentation,http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3405.pdf,"['KS Fu', ' JK Mui ']",A survey on image segmentation,1981,1806

convolutional neural network,http://www.brain.edusoft.ro/index.php/brain/article/viewFile/804/933,['O Deperlioglu'],Classification of phonocardiograms with convolutional neural networks,2018,29

convolutional neural network,https://en.cnki.com.cn/Article_en/CJFDTotal-JSJY201609029.htm,"['YD Li', ' ZB Hao', ' H Lei ']",Survey of convolutional neural network,2016,62

convolutional neural network,https://arxiv.org/pdf/1804.11191,"['Z Qin', 'F Yu', 'C Liu', 'X Chen']",How convolutional neural network see the world-A survey of convolutional neural network visualization methods,2018,73

temporal logic,https://orbi.uliege.be/bitstream/2268/18956/2/Wol00-fmpa.pdf,['P Wolper'],Constructing Automata from Temporal Logic Formulas: A Tutorial⋆,2000,140

temporal logic,https://www.sciencedirect.com/science/article/pii/0169755292901094,['R Gotzhein '],Temporal logic and applications—a tutorial,1992,73

temporal logic,https://people.eecs.berkeley.edu/~sseshia/fmee/lectures/EECS294-98_Spring2014_STL_Lecture.pdf,['A Donzé'],On signal temporal logic,2013,21

temporal logic,https://ieeexplore.ieee.org/abstract/document/4567924/,['A Pnueli '],The temporal logic of programs,1977,6952

hash function,https://link.springer.com/content/pdf/10.1007/978-3-662-44757-4.pdf,"['JP Aumasson', 'W Meier', 'RCW Phan', ' L Henzen ']", The hash function BLAKE,2014,35

hash function,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.587.7541&rep=rep1&type=pdf,"['R Purohit', ' U Mishra', ' A Bansal ']", A survey on recent cryptographic hash function designs,2013,12

hash function,http://journals.dbuniversity.ac.in/ojs/index.php/AJET/article/download/15/pdf_2,"['A Neelima', 'KM Singh']",A short survey on perceptual hash function,2014,13

usability,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1027.9971&rep=rep1&type=pdf,['MP Couper '],Usability evaluation of computer-assisted survey instruments,2000,176

usability,https://www.researchgate.net/profile/Asbjorn_Folstad/publication/241622941_Analysis_in_practical_usability_evaluation_A_survey_study/links/55379b1c0cf218056e9564b3/Analysis-in-practical-usability-evaluation-A-survey-study.pdf,"['A Følstad', 'E Law', 'K Hornbæk']",Analysis in practical usability evaluation: a survey study,2012,83

computer vision,https://www.academia.edu/download/41662664/Performance_Characterization_in_Computer20160127-3613-18lmcza.pdf,"['AF Clark', ' C Clark ']", Performance characterization in computer vision a tutorial,1999,31

computer vision,https://academiccommons.columbia.edu/doi/10.7916/D8N87MJZ/download,"['KA Tarabanis', 'PK Allen', ' RY Tsai ']",A survey of sensor planning in computer vision,1995,611

reinforcement learning,https://apps.dtic.mil/sti/pdfs/ADA323194.pdf,"['ME Harmon', ' SS Harmon ']",Reinforcement Learning: A Tutorial.,1997,182

reinforcement learning,https://www.ias.ac.in/public/Volumes/sadh/019/06/0851-0889.pdf,"['SS Keerthi', 'B Ravindran']",A tutorial survey of reinforcement learning,1994,75

reinforcement learning,http://d-scholarship.pitt.edu/10255/1/MinChi_Dissertation_Dec2009.pdf,"['M Chi', 'K VanLehn', 'D Litman']",Do micro-level tutorial decisions matter: Applying reinforcement learning to induce pedagogical tutorial tactics,2010,89

reinforcement learning,https://par.nsf.gov/servlets/purl/10078417,"['B Kiumarsi', 'KG Vamvoudakis… ']",Optimal and autonomous control using reinforcement learning: A survey,2017,247

reinforcement learning,https://apps.dtic.mil/sti/pdfs/ADA323194.pdf,"['ME Harmon', ' SS Harmon ']",Reinforcement Learning: A Tutorial.,1997,182

reinforcement learning,https://www.ias.ac.in/public/Volumes/sadh/019/06/0851-0889.pdf,"['SS Keerthi', 'B Ravindran']",A tutorial survey of reinforcement learning,1994,75

reinforcement learning,http://d-scholarship.pitt.edu/10255/1/MinChi_Dissertation_Dec2009.pdf,"['M Chi', 'K VanLehn', 'D Litman']",Do micro-level tutorial decisions matter: Applying reinforcement learning to induce pedagogical tutorial tactics,2010,89

reinforcement learning,https://par.nsf.gov/servlets/purl/10078417,"['B Kiumarsi', 'KG Vamvoudakis… ']",Optimal and autonomous control using reinforcement learning: A survey,2017,247

genetic algorithms,http://papers.cumincad.org/cgi-bin/works/paper/eaca,['L Davis '],Handbook of genetic algorithms,1991,10730

genetic algorithms,http://gpbib.cs.ucl.ac.uk/gecco2007/docs/p3205.pdf,['ED Goodman '],Introduction to genetic algorithms,2014,49

genetic algorithms,https://ieeexplore.ieee.org/abstract/document/294849/,"['M Srinivas', 'LM Patnaik']",Genetic algorithms: A survey,1994,2520

genetic algorithms,http://aisii.azc.uam.mx/mcbc/Cursos/IntCompt/Lectura%2011.%20AGeneticos.pdf,['M Tomassini'],A survey of genetic algorithms,1995,141

turing machine,https://arxiv.org/pdf/1110.2230,"['T Neary', 'D Woods']",The complexity of small universal Turing machines: a survey,2012,27

access control,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.157.9610&rep=rep1&type=pdf,['M Abadi'],Logic in access control ,2009,25

